;;;;;;;;;;
111111java1.7TIMITneuLex.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Standard;;;;25.0;193.75;0.0;12;19;0;0;100.0;0
Standard;0.1;7.5;0.013;43.75;156.25;0.0;9;16;0;0;100.0;0
Standard;0.2;7.5;0.027;43.75;162.5;0.0;9;17;0;0;100.0;0
Standard;0.3;7.5;0.04;43.75;162.5;0.0;9;17;0;0;100.0;0
Standard;0.4;7.5;0.053;43.75;150.0;0.0;9;15;0;0;100.0;0
Standard;0.5;7.5;0.067;43.75;150.0;0.0;9;15;0;0;100.0;0
Standard;0.6;7.5;0.08;43.75;187.5;0.0;9;21;0;0;100.0;0
Standard;0.7;7.5;0.093;37.5;225.0;0.0;10;26;0;0;100.0;0
Standard;0.8;7.5;0.107;37.5;231.25;0.0;10;27;0;0;100.0;0
Standard;0.9;7.5;0.12;37.5;231.25;0.0;10;27;0;0;100.0;0
Standard;1.0;7.5;0.133;37.5;231.25;0.0;10;27;0;0;100.0;0
Standard;1.1;7.5;0.147;37.5;237.5;0.0;10;28;0;0;100.0;0
Standard;1.2;7.5;0.16;43.75;225.0;0.0;9;27;0;0;100.0;0
Standard;1.3;7.5;0.173;31.25;250.0;0.0;11;29;0;0;100.0;0
Standard;1.4;7.5;0.187;37.5;231.25;0.0;10;27;0;0;100.0;0
Standard;1.5;7.5;0.2;31.25;250.0;0.0;11;29;0;0;100.0;0
Standard;1.6;7.5;0.213;37.5;237.5;0.0;10;28;0;0;100.0;0
Standard;1.7;7.5;0.227;25.0;256.25;0.0;12;29;0;0;100.0;0
Standard;1.8;7.5;0.24;25.0;256.25;0.0;12;29;0;0;100.0;0
Standard;1.9;7.5;0.253;25.0;250.0;0.0;12;28;0;0;100.0;0
Standard;2.0;7.5;0.267;25.0;250.0;0.0;12;28;0;0;100.0;0
Standard;2.1;7.5;0.28;25.0;268.75;0.0;12;31;0;0;100.0;0
Standard;2.2;7.5;0.293;25.0;281.25;0.0;12;33;0;0;100.0;0
Standard;2.3;7.5;0.307;25.0;275.0;0.0;12;32;0;0;100.0;0
Standard;2.4;7.5;0.32;25.0;268.75;0.0;12;31;0;0;100.0;0
Standard;2.5;7.5;0.333;25.0;275.0;0.0;12;32;0;0;100.0;0
Standard;2.6;7.5;0.347;25.0;275.0;0.0;12;32;0;0;100.0;0
Standard;2.7;7.5;0.36;25.0;287.5;0.0;12;34;0;0;100.0;0
Standard;2.8;7.5;0.373;25.0;268.75;0.0;12;31;0;0;100.0;0
Standard;2.9;7.5;0.387;31.25;293.75;0.0;11;36;0;0;100.0;0
Standard;3.0;7.5;0.4;25.0;281.25;0.0;12;33;0;0;100.0;0
Standard;3.1;7.5;0.413;6.25;312.5;0.0;15;35;0;0;100.0;0
Standard;3.2;7.5;0.427;25.0;306.25;0.0;12;37;0;0;100.0;0
Standard;3.3;7.5;0.44;25.0;287.5;0.0;12;34;0;0;100.0;0
Standard;3.4;7.5;0.453;37.5;287.5;0.0;10;36;0;0;100.0;0
Standard;3.5;7.5;0.467;31.25;250.0;0.0;11;29;0;0;100.0;0
Standard;3.6;7.5;0.48;25.0;287.5;0.0;12;34;0;0;100.0;0
Standard;3.7;7.5;0.493;43.75;256.25;0.0;9;32;0;0;100.0;0
Standard;3.8;7.5;0.507;25.0;293.75;0.0;12;35;0;0;100.0;0
Standard;3.9;7.5;0.52;43.75;250.0;0.0;9;31;0;0;100.0;0
Standard;4.0;7.5;0.533;25.0;275.0;0.0;12;32;0;0;100.0;0
Standard;;;;25.0;187.5;0.0;12;18;0;0;100.0;0
Standard;0.1;7.6;0.013;43.75;143.75;0.0;9;14;0;0;100.0;0
Standard;0.2;7.6;0.026;43.75;162.5;0.0;9;17;0;0;100.0;0
Standard;0.3;7.6;0.039;43.75;162.5;0.0;9;17;0;0;100.0;0
Standard;0.4;7.6;0.053;43.75;150.0;0.0;9;15;0;0;100.0;0
Standard;0.5;7.6;0.066;43.75;150.0;0.0;9;15;0;0;100.0;0
Standard;0.6;7.6;0.079;43.75;193.75;0.0;9;22;0;0;100.0;0
Standard;0.7;7.6;0.092;37.5;225.0;0.0;10;26;0;0;100.0;0
Standard;0.8;7.6;0.105;37.5;237.5;0.0;10;28;0;0;100.0;0
Standard;0.9;7.6;0.118;37.5;237.5;0.0;10;28;0;0;100.0;0
Standard;1.0;7.6;0.132;37.5;231.25;0.0;10;27;0;0;100.0;0
Standard;1.1;7.6;0.145;37.5;237.5;0.0;10;28;0;0;100.0;0
Standard;1.2;7.6;0.158;37.5;231.25;0.0;10;27;0;0;100.0;0
Standard;1.3;7.6;0.171;31.25;250.0;0.0;11;29;0;0;100.0;0
Standard;1.4;7.6;0.184;31.25;250.0;0.0;11;29;0;0;100.0;0
Standard;1.5;7.6;0.197;37.5;237.5;0.0;10;28;0;0;100.0;0
Standard;1.6;7.6;0.211;37.5;250.0;0.0;10;30;0;0;100.0;0
Standard;1.7;7.6;0.224;18.75;262.5;0.0;13;29;0;0;100.0;0
Standard;1.8;7.6;0.237;25.0;262.5;0.0;12;30;0;0;100.0;0
Standard;1.9;7.6;0.25;25.0;250.0;0.0;12;28;0;0;100.0;0
Standard;2.0;7.6;0.263;6.25;293.75;0.0;15;32;0;0;100.0;0
Standard;2.1;7.6;0.276;25.0;256.25;0.0;12;29;0;0;100.0;0
Standard;2.2;7.6;0.289;25.0;268.75;0.0;12;31;0;0;100.0;0
Standard;2.3;7.6;0.303;25.0;275.0;0.0;12;32;0;0;100.0;0
Standard;2.4;7.6;0.316;25.0;306.25;0.0;12;37;0;0;100.0;0
Standard;2.5;7.6;0.329;25.0;275.0;0.0;12;32;0;0;100.0;0
Standard;2.6;7.6;0.342;25.0;275.0;0.0;12;32;0;0;100.0;0
Standard;2.7;7.6;0.355;25.0;268.75;0.0;12;31;0;0;100.0;0
Standard;2.8;7.6;0.368;6.25;293.75;0.0;15;32;0;0;100.0;0
Standard;2.9;7.6;0.382;25.0;281.25;0.0;12;33;0;0;100.0;0
Standard;3.0;7.6;0.395;25.0;281.25;0.0;12;33;0;0;100.0;0
Standard;3.1;7.6;0.408;6.25;312.5;0.0;15;35;0;0;100.0;0
Standard;3.2;7.6;0.421;31.25;281.25;0.0;11;34;0;0;100.0;0
Standard;3.3;7.6;0.434;25.0;281.25;0.0;12;33;0;0;100.0;0
Standard;3.4;7.6;0.447;25.0;287.5;0.0;12;34;0;0;100.0;0
Standard;3.5;7.6;0.461;18.75;256.25;0.0;13;28;0;0;100.0;0
Standard;3.6;7.6;0.474;25.0;275.0;0.0;12;32;0;0;100.0;0
Standard;3.7;7.6;0.487;25.0;287.5;0.0;12;34;0;0;100.0;0
Standard;3.8;7.6;0.5;37.5;275.0;0.0;10;34;0;0;100.0;0
Standard;3.9;7.6;0.513;25.0;312.5;0.0;12;38;0;0;100.0;0
Standard;4.0;7.6;0.526;43.75;275.0;0.0;9;35;0;0;100.0;0
Standard;;;;25.0;187.5;0.0;12;18;0;0;100.0;0
Standard;0.1;7.7;0.013;43.75;156.25;0.0;9;16;0;0;100.0;0
Standard;0.2;7.7;0.026;43.75;162.5;0.0;9;17;0;0;100.0;0
Standard;0.3;7.7;0.039;43.75;162.5;0.0;9;17;0;0;100.0;0
Standard;0.4;7.7;0.052;43.75;150.0;0.0;9;15;0;0;100.0;0
Standard;0.5;7.7;0.065;43.75;150.0;0.0;9;15;0;0;100.0;0
Standard;0.6;7.7;0.078;43.75;187.5;0.0;9;21;0;0;100.0;0
Standard;0.7;7.7;0.091;37.5;225.0;0.0;10;26;0;0;100.0;0
Standard;0.8;7.7;0.104;37.5;218.75;0.0;10;25;0;0;100.0;0
Standard;0.9;7.7;0.117;37.5;237.5;0.0;10;28;0;0;100.0;0
Standard;1.0;7.7;0.13;37.5;231.25;0.0;10;27;0;0;100.0;0
Standard;1.1;7.7;0.143;37.5;237.5;0.0;10;28;0;0;100.0;0
Standard;1.2;7.7;0.156;37.5;231.25;0.0;10;27;0;0;100.0;0
Standard;1.3;7.7;0.169;37.5;243.75;0.0;10;29;0;0;100.0;0
Standard;1.4;7.7;0.182;31.25;243.75;0.0;11;28;0;0;100.0;0
Standard;1.5;7.7;0.195;18.75;250.0;0.0;13;27;0;0;100.0;0
Standard;1.6;7.7;0.208;18.75;256.25;0.0;13;28;0;0;100.0;0
Standard;1.7;7.7;0.221;25.0;250.0;0.0;12;28;0;0;100.0;0
Standard;1.8;7.7;0.234;25.0;250.0;0.0;12;28;0;0;100.0;0
Standard;1.9;7.7;0.247;25.0;250.0;0.0;12;28;0;0;100.0;0
Standard;2.0;7.7;0.26;25.0;237.5;0.0;12;26;0;0;100.0;0
Standard;2.1;7.7;0.273;25.0;268.75;0.0;12;31;0;0;100.0;0
Standard;2.2;7.7;0.286;6.25;306.25;0.0;15;34;0;0;100.0;0
Standard;2.3;7.7;0.299;25.0;287.5;0.0;12;34;0;0;100.0;0
Standard;2.4;7.7;0.312;25.0;281.25;0.0;12;33;0;0;100.0;0
Standard;2.5;7.7;0.325;25.0;275.0;0.0;12;32;0;0;100.0;0
Standard;2.6;7.7;0.338;25.0;281.25;0.0;12;33;0;0;100.0;0
Standard;2.7;7.7;0.351;25.0;262.5;0.0;12;30;0;0;100.0;0
Standard;2.8;7.7;0.364;31.25;250.0;0.0;11;29;0;0;100.0;0
Standard;2.9;7.7;0.377;18.75;306.25;0.0;13;36;0;0;100.0;0
Standard;3.0;7.7;0.39;25.0;281.25;0.0;12;33;0;0;100.0;0
Standard;3.1;7.7;0.403;18.75;312.5;0.0;13;37;0;0;100.0;0
Standard;3.2;7.7;0.416;31.25;287.5;0.0;11;35;0;0;100.0;0
Standard;3.3;7.7;0.429;31.25;268.75;0.0;11;32;0;0;100.0;0
Standard;3.4;7.7;0.442;25.0;287.5;0.0;12;34;0;0;100.0;0
Standard;3.5;7.7;0.455;37.5;262.5;0.0;10;32;0;0;100.0;0
Standard;3.6;7.7;0.468;25.0;287.5;0.0;12;34;0;0;100.0;0
Standard;3.7;7.7;0.481;43.75;268.75;0.0;9;34;0;0;100.0;0
Standard;3.8;7.7;0.494;25.0;287.5;0.0;12;34;0;0;100.0;0
Standard;3.9;7.7;0.506;43.75;262.5;0.0;9;33;0;0;100.0;0
