;;;;;;;;;;
111111java1.7minitimitneuLex.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.1;8.0;0.013;75.0;25.0;0.0;0;0;1;0;100.0;0
Standard;0.2;8.0;0.025;75.0;25.0;0.0;0;0;1;0;100.0;0
Standard;0.3;8.0;0.038;75.0;25.0;0.0;0;0;1;0;100.0;0
Standard;0.4;8.0;0.05;75.0;25.0;0.0;0;0;1;0;100.0;0
Standard;0.5;8.0;0.063;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;0.6;8.0;0.075;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;0.7;8.0;0.088;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;0.8;8.0;0.1;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;0.9;8.0;0.113;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.0;8.0;0.125;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.1;8.0;0.138;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.2;8.0;0.15;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.3;8.0;0.163;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.4;8.0;0.175;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.5;8.0;0.188;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.6;8.0;0.2;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.7;8.0;0.213;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.8;8.0;0.225;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.9;8.0;0.238;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.0;8.0;0.25;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.1;8.0;0.263;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.2;8.0;0.275;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.3;8.0;0.287;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.4;8.0;0.3;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.5;8.0;0.312;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.6;8.0;0.325;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.7;8.0;0.337;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;2.8;8.0;0.35;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;2.9;8.0;0.362;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.0;8.0;0.375;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.1;8.0;0.387;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.2;8.0;0.4;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.3;8.0;0.412;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.4;8.0;0.425;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.5;8.0;0.437;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.6;8.0;0.45;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.7;8.0;0.462;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.8;8.0;0.475;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.9;8.0;0.487;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.0;8.0;0.5;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.1;8.0;0.512;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.2;8.0;0.525;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.3;8.0;0.537;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.4;8.0;0.55;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.5;8.0;0.562;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.6;8.0;0.575;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;4.7;8.0;0.587;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;4.8;8.0;0.6;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;4.9;8.0;0.612;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.0;8.0;0.625;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.1;8.0;0.637;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.2;8.0;0.65;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.3;8.0;0.662;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.4;8.0;0.675;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.5;8.0;0.687;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.6;8.0;0.7;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.7;8.0;0.712;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.8;8.0;0.725;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.9;8.0;0.737;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.0;8.0;0.75;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.1;8.0;0.762;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.2;8.0;0.775;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.3;8.0;0.787;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.4;8.0;0.8;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.5;8.0;0.812;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.6;8.0;0.825;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.7;8.0;0.837;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.8;8.0;0.85;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.9;8.0;0.862;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.0;8.0;0.875;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.1;8.0;0.887;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.2;8.0;0.9;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.3;8.0;0.912;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.4;8.0;0.925;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.5;8.0;0.937;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.6;8.0;0.95;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.7;8.0;0.962;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.8;8.0;0.975;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.9;8.0;0.987;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.0;8.0;1.0;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.1;8.0;1.012;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.2;8.0;1.025;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.3;8.0;1.037;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.4;8.0;1.05;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.5;8.0;1.062;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.6;8.0;1.075;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.7;8.0;1.087;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.8;8.0;1.1;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.9;8.0;1.112;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.0;8.0;1.125;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.1;8.0;1.137;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.2;8.0;1.15;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.3;8.0;1.162;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.4;8.0;1.175;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.5;8.0;1.188;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.6;8.0;1.2;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.7;8.0;1.213;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.8;8.0;1.225;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.9;8.0;1.238;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.1;8.1;0.012;75.0;25.0;0.0;0;0;1;0;100.0;0
Standard;0.2;8.1;0.025;75.0;25.0;0.0;0;0;1;0;100.0;0
Standard;0.3;8.1;0.037;75.0;25.0;0.0;0;0;1;0;100.0;0
Standard;0.4;8.1;0.049;75.0;25.0;0.0;0;0;1;0;100.0;0
Standard;0.5;8.1;0.062;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;0.6;8.1;0.074;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;0.7;8.1;0.086;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;0.8;8.1;0.099;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;0.9;8.1;0.111;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.0;8.1;0.123;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.1;8.1;0.136;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.2;8.1;0.148;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.3;8.1;0.16;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.4;8.1;0.173;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.5;8.1;0.185;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.6;8.1;0.198;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.7;8.1;0.21;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.8;8.1;0.222;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.9;8.1;0.235;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.0;8.1;0.247;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.1;8.1;0.259;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.2;8.1;0.272;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.3;8.1;0.284;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.4;8.1;0.296;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.5;8.1;0.309;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.6;8.1;0.321;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;2.7;8.1;0.333;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;2.8;8.1;0.346;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;2.9;8.1;0.358;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.0;8.1;0.37;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.1;8.1;0.383;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.2;8.1;0.395;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.3;8.1;0.407;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.4;8.1;0.42;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.5;8.1;0.432;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.6;8.1;0.444;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.7;8.1;0.457;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.8;8.1;0.469;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;3.9;8.1;0.481;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.0;8.1;0.494;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.1;8.1;0.506;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.2;8.1;0.519;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.3;8.1;0.531;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.4;8.1;0.543;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.5;8.1;0.556;100.0;100.0;0.0;0;4;0;0;100.0;0
Standard;4.6;8.1;0.568;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;4.7;8.1;0.58;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;4.8;8.1;0.593;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;4.9;8.1;0.605;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.0;8.1;0.617;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.1;8.1;0.63;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.2;8.1;0.642;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.3;8.1;0.654;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.4;8.1;0.667;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.5;8.1;0.679;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.6;8.1;0.691;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.7;8.1;0.704;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.8;8.1;0.716;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;5.9;8.1;0.728;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.0;8.1;0.741;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.1;8.1;0.753;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.2;8.1;0.765;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.3;8.1;0.778;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.4;8.1;0.79;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.5;8.1;0.802;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.6;8.1;0.815;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.7;8.1;0.827;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.8;8.1;0.84;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;6.9;8.1;0.852;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.0;8.1;0.864;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.1;8.1;0.877;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.2;8.1;0.889;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.3;8.1;0.901;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.4;8.1;0.914;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.5;8.1;0.926;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.6;8.1;0.938;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.7;8.1;0.951;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.8;8.1;0.963;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;7.9;8.1;0.975;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.0;8.1;0.988;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.1;8.1;1.0;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.2;8.1;1.012;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.3;8.1;1.025;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.4;8.1;1.037;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.5;8.1;1.049;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.6;8.1;1.062;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.7;8.1;1.074;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.8;8.1;1.086;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;8.9;8.1;1.099;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.0;8.1;1.111;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.1;8.1;1.123;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.2;8.1;1.136;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.3;8.1;1.148;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.4;8.1;1.16;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.5;8.1;1.173;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.6;8.1;1.185;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.7;8.1;1.198;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.8;8.1;1.21;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;9.9;8.1;1.222;100.0;125.0;0.0;0;5;0;0;100.0;0
Standard;;;;75.0;25.0;0.0;1;0;0;0;100.0;0
Standard;0.1;8.2;0.012;75.0;25.0;0.0;0;0;1;0;100.0;0
Standard;0.2;8.2;0.024;75.0;25.0;0.0;0;0;1;0;100.0;0
Standard;0.3;8.2;0.037;75.0;25.0;0.0;0;0;1;0;100.0;0
Standard;0.4;8.2;0.049;75.0;25.0;0.0;0;0;1;0;100.0;0
Standard;0.5;8.2;0.061;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;0.6;8.2;0.073;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;0.7;8.2;0.085;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;0.8;8.2;0.098;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;0.9;8.2;0.11;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.0;8.2;0.122;100.0;50.0;0.0;0;2;0;0;100.0;0
Standard;1.1;8.2;0.134;100.0;50.0;0.0;0;2;0;0;100.0;0
