;;;;;;;;;;
sigscripted6.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Google;;;;53.788;48.485;3.333;53;3;8;0;96.667;992
Google Sentence List;;;;76.515;24.242;0.0;30;1;1;0;100.0;100
Google Word List;;;;72.727;29.545;16.667;28;3;8;0;83.333;13
Google Phoneme Unigram;0.2;0.5;0.4;65.152;47.727;3.333;43;17;3;0;96.667;74
Google Phoneme Bi-Gram;2.35;4.35;0.54;81.818;19.697;36.667;13;2;11;0;63.333;95
Google Phoneme FlatTri-Gram;1.9;5.0;0.38;84.091;18.939;40.0;15;4;6;0;60.0;279
Google Phoneme LexTri-Gram;0.95;1.4;0.679;73.485;28.788;26.667;25;3;10;0;73.333;364
Sphinx Bi-Gram;10.5;0.7;15.0;0.0;0.0;0.0;0;0;0;0;100.0;0
Sphinx Tri-Gram;10.5;0.7;15.0;0.0;0.0;0.0;0;0;0;0;100.0;0
Sphinx Sentence List;;;;69.697;33.333;0.0;36;4;4;0;100.0;266
