;;;;;;;;;;
scriptedfull.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Google;;;;54.308;47.308;2.027;486;21;108;0;97.973;-4914754690
Google Sentence List;;;;93.615;6.462;79.054;71;1;12;0;20.946;69
Google Word List;;;;74.0;27.692;28.716;229;22;109;0;71.284;9
Google Phoneme Unigram;0.2;0.5;0.4;59.154;51.154;10.473;490;134;41;0;89.527;53
Google Phoneme Bi-Gram;2.35;4.35;0.54;81.692;18.615;50.338;113;4;125;0;49.662;74
Google Phoneme FlatTri-Gram;1.9;5.0;0.38;87.462;13.538;61.824;122;13;41;0;38.176;191
Google Phoneme LexTri-Gram;0.95;1.4;0.679;76.692;24.769;44.932;195;19;108;0;55.068;291
Sphinx Bi-Gram;10.5;0.7;15.0;76.846;29.154;34.122;192;78;109;0;65.878;7145
Sphinx Tri-Gram;10.5;0.7;15.0;78.846;26.538;39.527;175;70;100;0;60.473;6463
Sphinx Sentence List;;;;84.538;16.231;62.5;150;10;51;0;37.5;124
