;;;;;;;;;;
fulltimit.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Google;;;;85.287;15.732;45.313;185;16;46;0;54.688;-7576965383
Google Sentence List;;;;100.0;0.0;100.0;0;0;0;0;0.0;303
Google Word List;;;;85.287;15.796;40.625;184;17;47;0;59.375;25
Google Phoneme Unigram;0.2;0.5;0.4;64.904;43.121;7.292;502;126;49;0;92.708;1910
Google Phoneme Bi-Gram;2.35;4.35;0.54;90.701;9.427;68.75;68;2;78;0;31.25;5926
Google Phoneme FlatTri-Gram;1.9;5.0;0.38;97.197;2.93;84.375;32;2;12;0;15.625;234665
Google Phoneme LexTri-Gram;0.95;1.4;0.679;27.325;74.076;0.0;626;22;515;0;100.0;1562
Sphinx Bi-Gram;10.5;0.7;15.0;84.204;17.261;41.667;151;23;97;0;58.333;19669
Sphinx Tri-Gram;10.5;0.7;15.0;87.898;13.376;54.167;124;20;66;0;45.833;16365
Sphinx Sentence List;;;;97.834;2.229;97.917;19;1;15;0;2.083;427
