,,,,,,,,,,,,
Scripted1.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,54.545,46.281,10.345,44,1,11,0,89.655,-50152184030
Google Sentence List,,,,72.727,27.273,0,31,0,2,0,100,132
Google Word List,,,,67.769,33.884,17.241,27,2,12,0,82.759,13
Google Phoneme Unigram,0.2,0.5,0.4,55.372,57.025,10.345,53,15,1,0,89.655,52
Google Phoneme Bi-Gram,2.35,4.35,0.54,75.207,27.273,31.034,18,3,12,0,68.966,85
Google Phoneme FlatTri-Gram,1.9,5,0.38,80.992,22.314,41.379,21,4,2,0,58.621,175
Google Phoneme LexTri-Gram,0.95,1.4,0.679,71.074,30.579,34.483,25,2,10,0,65.517,272
Sphinx N-Gram,10.5,0.7,15,67.769,35.537,24.138,22,4,17,0,75.862,6515
Sphinx N-Gram,10.5,0.7,15,68.595,34.711,24.138,22,4,16,0,75.862,5705
Sphinx Sentence List,,,,62.81,41.322,0,34,5,11,0,100,139
,,,,,,,,,,,,
Scripted2.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,51.639,51.639,0,47,4,12,0,100,920
Google Sentence List,,,,68.852,31.148,0,30,0,8,0,100,119
Google Word List,,,,72.131,31.148,24.138,22,4,12,0,75.862,13
Google Phoneme Unigram,0.2,0.5,0.4,58.197,54.098,6.897,47,15,4,0,93.103,52
Google Phoneme Bi-Gram,2.35,4.35,0.54,77.869,22.951,37.931,15,1,12,0,62.069,88
Google Phoneme FlatTri-Gram,1.9,5,0.38,85.246,15.574,44.828,15,1,3,0,55.172,191
Google Phoneme LexTri-Gram,0.95,1.4,0.679,77.049,24.59,37.931,21,2,7,0,62.069,267
Sphinx N-Gram,10.5,0.7,15,76.23,30.328,37.931,22,8,7,0,62.069,6382
Sphinx N-Gram,10.5,0.7,15,76.23,29.508,41.379,22,7,7,0,58.621,5788
Sphinx Sentence List,,,,70.492,31.148,0,32,2,4,0,100,124
,,,,,,,,,,,,
Scripted3.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,46.457,54.331,0,49,1,19,0,100,738
Google Sentence List,,,,69.291,30.709,0,36,0,3,0,100,128
Google Word List,,,,70.866,29.921,20.69,18,1,19,0,79.31,12
Google Phoneme Unigram,0.2,0.5,0.4,63.78,47.244,13.793,42,14,4,0,86.207,51
Google Phoneme Bi-Gram,2.35,4.35,0.54,68.504,31.496,31.034,18,0,22,0,68.966,87
Google Phoneme FlatTri-Gram,1.9,5,0.38,79.528,23.622,41.379,21,4,5,0,58.621,184
Google Phoneme LexTri-Gram,0.95,1.4,0.679,70.866,30.709,31.034,26,2,11,0,68.966,258
Sphinx N-Gram,10.5,0.7,15,75.591,29.921,20.69,22,7,9,0,79.31,6365
Sphinx N-Gram,10.5,0.7,15,77.953,26.772,27.586,18,6,10,0,72.414,5737
Sphinx Sentence List,,,,70.866,30.709,0,35,2,2,0,100,137
,,,,,,,,,,,,
Scripted4.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,56.693,44.882,3.448,40,2,15,0,96.552,960
Google Sentence List,,,,72.441,27.559,0,31,0,4,0,100,123
Google Word List,,,,73.228,28.346,27.586,19,2,15,0,72.414,13
Google Phoneme Unigram,0.2,0.5,0.4,61.417,47.244,6.897,44,11,5,0,93.103,49
Google Phoneme Bi-Gram,2.35,4.35,0.54,80.315,20.472,41.379,13,1,12,0,58.621,83
Google Phoneme FlatTri-Gram,1.9,5,0.38,86.614,14.961,62.069,15,2,2,0,37.931,175
Google Phoneme LexTri-Gram,0.95,1.4,0.679,81.89,18.11,44.828,13,0,10,0,55.172,256
Sphinx N-Gram,10.5,0.7,15,70.079,44.882,13.793,27,19,11,0,86.207,6948
Sphinx N-Gram,10.5,0.7,15,70.866,44.094,13.793,26,19,11,0,86.207,6209
Sphinx Sentence List,,,,62.205,38.583,0,39,1,9,0,100,146
