;;;;;;;;;;
semeval3.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Google;;;;90.952;9.365;36.0;51;2;6;0;64.0;0
Google Sentence List;;;;82.698;22.381;24.0;71;32;38;0;76.0;481
Google Word List;;;;93.651;7.619;46.0;28;8;12;0;54.0;26
Google Phoneme Unigram;0.2;0.5;0.4;57.302;48.095;0.0;248;34;21;0;100.0;342
Google Phoneme Bi-Gram;2.35;4.35;0.54;78.889;23.968;20.0;79;18;54;0;80.0;460
Google Phoneme FlatTri-Gram;1.9;5.0;0.38;84.921;18.889;30.0;66;24;29;0;70.0;1422
Google Phoneme LexTri-Gram;0.95;1.4;0.679;54.127;46.825;6.0;169;6;120;0;94.0;1056
Sphinx Bi-Gram;10.5;0.7;15.0;31.746;69.683;2.0;40;9;390;13;98.0;23693
Sphinx Tri-Gram;10.5;0.7;15.0;33.016;67.778;4.0;37;5;385;13;96.0;21261
Sphinx Sentence List;;;;26.032;74.286;10.0;60;2;406;13;90.0;232
