,,,,,,,,,,,,
semeval1.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,90.087,10.609,46,43,4,14,0,54,-29090171022
Google Sentence List,,,,69.217,36.522,18,124,33,53,0,82,443
Google Word List,,,,92.174,8.522,48,31,4,14,0,52,25
Google Phoneme Unigram,0.2,0.5,0.4,58.261,51.304,0,219,55,21,0,100,288
Google Phoneme Bi-Gram,2.35,4.35,0.54,71.13,31.826,12,94,17,72,0,88,396
Google Phoneme FlatTri-Gram,1.9,5,0.38,79.478,26.609,18,87,35,31,0,82,1156
Google Phoneme LexTri-Gram,0.95,1.4,0.679,51.304,50.957,10,184,13,96,0,90,900
Sphinx Bi-Gram,10.5,0.7,15,20.696,80.348,2,67,6,389,22,98,27717
Sphinx Tri-Gram,10.5,0.7,15,20.696,80.348,4,70,6,386,22,96,24714
Sphinx Sentence List,,,,22.957,78.261,6,65,7,378,22,94,186
,,,,,,,,,,,,
semeval2.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,88.645,12.821,38,55,8,7,0,62,-226
Google Sentence List,,,,68.498,33.516,12,98,11,74,0,88,339
Google Word List,,,,91.941,9.524,46,37,8,7,0,54,22
Google Phoneme Unigram,0.2,0.5,0.4,58.974,49.634,0,205,47,19,0,100,263
Google Phoneme Bi-Gram,2.35,4.35,0.54,72.527,31.868,18,71,24,79,0,82,361
Google Phoneme FlatTri-Gram,1.9,5,0.38,79.67,26.007,28,66,31,45,0,72,1132
Google Phoneme LexTri-Gram,0.95,1.4,0.679,58.974,43.04,4,133,11,91,0,96,831
Sphinx Bi-Gram,10.5,0.7,15,24.542,76.74,0,48,7,364,19,100,25396
Sphinx Tri-Gram,10.5,0.7,15,26.19,74.908,0,45,6,358,19,100,22704
Sphinx Sentence List,,,,16.484,83.883,0,73,2,383,19,100,142
,,,,,,,,,,,,
semeval3.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,90.952,9.365,36,51,2,6,0,64,0
Google Sentence List,,,,82.698,22.381,24,71,32,38,0,76,481
Google Word List,,,,93.651,7.619,46,28,8,12,0,54,26
Google Phoneme Unigram,0.2,0.5,0.4,57.302,48.095,0,248,34,21,0,100,342
