;;;;;;;;;;
spont2.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Google;;;;66.667;38.596;30.0;16;3;3;0;70.0;-264
Google Sentence List;;;;59.649;43.86;10.0;15;2;8;0;90.0;124
Google Word List;;;;70.175;35.088;30.0;14;3;3;0;70.0;18
Google Phoneme Unigram;0.2;0.5;0.4;49.123;64.912;0.0;27;8;2;0;100.0;149
Google Phoneme Bi-Gram;2.35;4.35;0.54;56.14;45.614;0.0;14;1;11;0;100.0;241
Google Phoneme FlatTri-Gram;1.9;5.0;0.38;61.404;40.351;10.0;18;1;4;0;90.0;716
Google Phoneme LexTri-Gram;0.95;1.4;0.679;54.386;47.368;10.0;23;1;3;0;90.0;635
Sphinx Bi-Gram;10.5;0.7;15.0;26.316;75.439;0.0;21;1;21;0;100.0;16645
Sphinx Tri-Gram;10.5;0.7;15.0;31.579;68.421;10.0;18;0;21;0;90.0;14469
Sphinx Sentence List;;;;26.316;77.193;10.0;14;2;28;0;90.0;135
