,,,,,,,,,,,,
spont1.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,63.636,36.364,20,8,0,16,1,80,-145449926012
Google Sentence List,,,,43.939,57.576,10,17,1,20,1,90,415
Google Word List,,,,57.576,42.424,10,12,0,16,1,90,16
Google Phoneme Unigram,0.2,0.5,0.4,34.848,68.182,10,29,2,14,0,90,289
Google Phoneme Bi-Gram,2.35,4.35,0.54,28.788,71.212,10,19,0,28,1,90,203
Google Phoneme FlatTri-Gram,1.9,5,0.38,37.879,66.667,10,20,3,21,0,90,621
Google Phoneme LexTri-Gram,0.95,1.4,0.679,30.303,71.212,0,24,1,22,1,100,595
Sphinx Bi-Gram,10.5,0.7,15,15.152,84.848,10,23,0,33,0,90,23369
Sphinx Tri-Gram,10.5,0.7,15,19.697,80.303,10,24,0,29,0,90,20497
Sphinx Sentence List,,,,6.061,93.939,10,14,0,48,0,90,117
,,,,,,,,,,,,
spont2.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,66.667,38.596,30,16,3,3,0,70,-264
Google Sentence List,,,,59.649,43.86,10,15,2,8,0,90,124
Google Word List,,,,70.175,35.088,30,14,3,3,0,70,18
Google Phoneme Unigram,0.2,0.5,0.4,49.123,64.912,0,27,8,2,0,100,149
Google Phoneme Bi-Gram,2.35,4.35,0.54,56.14,45.614,0,14,1,11,0,100,241
Google Phoneme FlatTri-Gram,1.9,5,0.38,61.404,40.351,10,18,1,4,0,90,716
Google Phoneme LexTri-Gram,0.95,1.4,0.679,54.386,47.368,10,23,1,3,0,90,635
Sphinx Bi-Gram,10.5,0.7,15,26.316,75.439,0,21,1,21,0,100,16645
Sphinx Tri-Gram,10.5,0.7,15,31.579,68.421,10,18,0,21,0,90,14469
Sphinx Sentence List,,,,26.316,77.193,10,14,2,28,0,90,135
,,,,,,,,,,,,
spont3.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,43.137,56.863,20,14,0,15,1,80,-76
Google Sentence List,,,,37.255,64.706,0,8,1,24,1,100,82
Google Word List,,,,52.941,47.059,20,9,0,15,1,80,12
Google Phoneme Unigram,0.2,0.5,0.4,45.098,64.706,20,18,5,10,0,80,104
Google Phoneme Bi-Gram,2.35,4.35,0.54,45.098,60.784,10,10,3,18,1,90,162
Google Phoneme FlatTri-Gram,1.9,5,0.38,43.137,66.667,20,18,5,11,0,80,511
Google Phoneme LexTri-Gram,0.95,1.4,0.679,49.02,56.863,20,9,3,17,1,80,469
Sphinx Bi-Gram,10.5,0.7,15,17.647,82.353,0,12,0,30,2,100,19634
Sphinx Tri-Gram,10.5,0.7,15,19.608,80.392,0,11,0,30,2,100,17701
Sphinx Sentence List,,,,13.725,86.275,0,10,0,34,2,100,68
,,,,,,,,,,,,
spont4.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,55.556,48.148,10,8,2,16,0,90,158
Google Sentence List,,,,24.074,81.481,0,12,3,29,0,100,83
Google Word List,,,,46.296,57.407,10,13,2,16,0,90,12
Google Phoneme Unigram,0.2,0.5,0.4,20.37,92.593,10,31,7,12,0,90,98
