;;;;;;;;;;
timit4.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Google;;;;88.679;11.321;42.105;15;0;3;0;57.895;-625
Google Sentence List;;;;4.403;101.887;0.0;100;10;52;0;100.0;340
Google Word List;;;;40.252;59.748;0.0;92;0;3;0;100.0;26
Google Phoneme Unigram;0.2;0.5;0.4;16.352;127.044;0.0;130;69;3;0;100.0;2008
Google Phoneme Bi-Gram;2.35;4.35;0.54;4.403;98.113;0.0;83;4;69;0;100.0;7844
Google Phoneme FlatTri-Gram;1.9;5.0;0.38;6.918;111.95;0.0;130;30;18;0;100.0;346611
Google Phoneme LexTri-Gram;0.95;1.4;0.679;8.176;92.453;0.0;90;1;56;0;100.0;1547
Sphinx Bi-Gram;10.5;0.7;15.0;20.126;96.855;0.0;115;27;12;0;100.0;25547
Sphinx Tri-Gram;10.5;0.7;15.0;18.868;99.371;0.0;115;29;14;0;100.0;22545
Sphinx Sentence List;;;;1.887;101.887;0.0;100;6;56;0;100.0;464
