;;;;;;;;;;
timit5.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Google;;;;83.832;17.964;36.842;21;3;6;0;63.158;-422
Google Sentence List;;;;2.395;99.401;0.0;108;3;55;0;100.0;346
Google Word List;;;;50.898;50.898;0.0;76;3;6;0;100.0;26
Google Phoneme Unigram;0.2;0.5;0.4;20.359;107.186;0.0;127;46;6;0;100.0;1990
Google Phoneme Bi-Gram;2.35;4.35;0.54;4.192;100.0;0.0;98;7;62;0;100.0;7770
Google Phoneme FlatTri-Gram;1.9;5.0;0.38;8.383;101.796;0.0;122;17;31;0;100.0;386700
Google Phoneme LexTri-Gram;0.95;1.4;0.679;7.186;92.814;0.0;86;0;69;0;100.0;1466
Sphinx Bi-Gram;10.5;0.7;15.0;15.569;91.617;0.0;111;12;30;0;100.0;23452
Sphinx Tri-Gram;10.5;0.7;15.0;16.168;89.82;0.0;110;10;30;0;100.0;20389
Sphinx Sentence List;;;;2.994;97.006;0.0;95;0;67;0;100.0;386
