,,,,,,,,,,,,
timit1.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,85.065,15.584,42.105,15,1,8,0,57.895,-76553126572
Google Sentence List,,,,4.545,101.299,0,104,9,43,0,100,222
Google Word List,,,,47.403,53.247,0,73,1,8,0,100,23
Google Phoneme Unigram,0.2,0.5,0.4,20.13,122.078,0,122,65,1,0,100,2042
Google Phoneme Bi-Gram,2.35,4.35,0.54,6.494,98.701,0,97,8,47,0,100,8221
Google Phoneme FlatTri-Gram,1.9,5,0.38,5.844,110.39,0,134,25,11,0,100,432881
Google Phoneme LexTri-Gram,0.95,1.4,0.679,8.442,92.857,0,87,2,54,0,100,1633
Sphinx Bi-Gram,10.5,0.7,15,19.481,87.662,0,106,11,18,0,100,25603
Sphinx Tri-Gram,10.5,0.7,15,19.481,87.662,0,107,11,17,0,100,21946
Sphinx Sentence List,,,,5.195,98.052,0,87,5,59,0,100,348
,,,,,,,,,,,,
timit2.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,89.744,10.897,52.632,15,1,1,0,47.368,-328
Google Sentence List,,,,3.846,102.564,0,112,10,38,0,100,266
Google Word List,,,,41.667,58.974,0,90,1,1,0,100,25
Google Phoneme Unigram,0.2,0.5,0.4,28.846,113.462,0,107,66,4,0,100,2185
Google Phoneme Bi-Gram,2.35,4.35,0.54,4.487,101.282,0,97,9,52,0,100,8519
Google Phoneme FlatTri-Gram,1.9,5,0.38,5.769,119.872,0,128,40,19,0,100,459722
Google Phoneme LexTri-Gram,0.95,1.4,0.679,8.974,94.231,0,84,5,58,0,100,1791
Sphinx Bi-Gram,10.5,0.7,15,17.949,103.846,0,120,34,8,0,100,29499
Sphinx Tri-Gram,10.5,0.7,15,17.308,103.846,0,119,33,10,0,100,26692
Sphinx Sentence List,,,,2.564,101.923,0,106,7,46,0,100,446
,,,,,,,,,,,,
timit3.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,87.013,14.286,42.105,18,2,2,0,57.895,-601
Google Sentence List,,,,2.597,104.545,0,102,11,48,0,100,233
Google Word List,,,,42.208,59.091,0,87,2,2,0,100,24
Google Phoneme Unigram,0.2,0.5,0.4,15.584,118.831,0,127,53,3,0,100,1988
Google Phoneme Bi-Gram,2.35,4.35,0.54,4.545,98.052,0,82,4,65,0,100,7411
Google Phoneme FlatTri-Gram,1.9,5,0.38,4.545,107.792,0,120,19,27,0,100,393690
Google Phoneme LexTri-Gram,0.95,1.4,0.679,6.494,94.805,0,81,2,63,0,100,1548
Sphinx Bi-Gram,10.5,0.7,15,14.286,95.455,0,106,15,26,0,100,25972
Sphinx Tri-Gram,10.5,0.7,15,13.636,96.753,0,107,16,26,0,100,23264
Sphinx Sentence List,,,,3.247,98.052,0,96,2,53,0,100,297
,,,,,,,,,,,,
timit4.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Google,,,,88.679,11.321,42.105,15,0,3,0,57.895,-625
Google Sentence List,,,,4.403,101.887,0,100,10,52,0,100,340
Google Word List,,,,40.252,59.748,0,92,0,3,0,100,26
Google Phoneme Unigram,0.2,0.5,0.4,16.352,127.044,0,130,69,3,0,100,2008
Google Phoneme Bi-Gram,2.35,4.35,0.54,4.403,98.113,0,83,4,69,0,100,7844
Google Phoneme FlatTri-Gram,1.9,5,0.38,6.918,111.95,0,130,30,18,0,100,346611
Google Phoneme LexTri-Gram,0.95,1.4,0.679,8.176,92.453,0,90,1,56,0,100,1547
Sphinx Bi-Gram,10.5,0.7,15,20.126,96.855,0,115,27,12,0,100,25547
