;;;;;;;;;;
111111java1.7scriptedSonntagMittag.mitUniWeight0.7;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Standard;;;;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.01;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.02;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.03;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.04;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.05;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.06;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.07;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.08;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.09;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.1;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.11;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.12;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.13;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.14;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.15;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.16;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.17;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.18;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.19;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
Standard;0.2;0.0;9.223372036854776E15;0.0;100.0;0.0;0;0;643;0;100.0;0
