;;;;;;;;;;
111111java1.7scriptedneuLex.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Standard;;;;48.056;54.743;10.738;265;18;69;0;89.262;0
Standard;0.01;0.1;0.1;50.855;51.633;14.765;250;16;66;0;85.235;0
Standard;0.02;0.1;0.2;50.855;51.788;14.094;251;17;65;0;85.906;0
Standard;0.03;0.1;0.3;52.1;51.011;14.094;254;20;54;0;85.906;0
Standard;0.04;0.1;0.4;52.877;51.011;14.094;252;25;51;0;85.906;0
Standard;0.05;0.1;0.5;55.365;52.566;14.094;241;51;46;0;85.906;0
Standard;0.06;0.1;0.6;56.299;52.566;14.094;236;57;45;0;85.906;0
Standard;0.07;0.1;0.7;57.698;52.255;14.094;232;64;40;0;85.906;0
Standard;0.08;0.1;0.8;57.698;52.255;14.094;234;64;38;0;85.906;0
Standard;0.09;0.1;0.9;57.698;52.255;14.094;234;64;38;0;85.906;0
Standard;0.1;0.1;1.0;57.698;52.255;14.094;234;64;38;0;85.906;0
Standard;0.11;0.1;1.1;57.698;52.255;14.094;234;64;38;0;85.906;0
Standard;0.12;0.1;1.2;58.32;51.944;14.094;235;66;33;0;85.906;0
Standard;0.13;0.1;1.3;58.32;51.944;14.094;235;66;33;0;85.906;0
Standard;0.14;0.1;1.4;58.476;52.1;14.094;233;68;34;0;85.906;0
Standard;0.15;0.1;1.5;58.476;52.1;14.094;233;68;34;0;85.906;0
Standard;0.16;0.1;1.6;58.476;52.1;14.094;233;68;34;0;85.906;0
Standard;0.17;0.1;1.7;58.476;52.1;14.094;233;68;34;0;85.906;0
Standard;0.18;0.1;1.8;58.476;52.1;14.094;233;68;34;0;85.906;0
Standard;0.19;0.1;1.9;58.476;52.1;14.094;233;68;34;0;85.906;0
Standard;0.2;0.1;2.0;58.476;52.1;14.094;233;68;34;0;85.906;0
Standard;0.21;0.1;2.1;58.476;52.1;14.094;233;68;34;0;85.906;0
Standard;0.22;0.1;2.2;58.476;52.1;14.094;233;68;34;0;85.906;0
Standard;0.23;0.1;2.3;58.476;52.1;14.094;233;68;34;0;85.906;0
Standard;0.24;0.1;2.4;58.476;52.1;14.094;233;68;34;0;85.906;0
Standard;0.25;0.1;2.5;58.631;51.944;14.094;232;68;34;0;85.906;0
Standard;0.26;0.1;2.6;58.631;51.944;14.094;232;68;34;0;85.906;0
Standard;0.27;0.1;2.7;61.742;49.145;16.107;212;70;34;0;83.893;0
Standard;0.28;0.1;2.8;61.742;49.145;16.107;212;70;34;0;83.893;0
Standard;0.29;0.1;2.9;61.742;49.145;16.107;212;70;34;0;83.893;0
Standard;0.3;0.1;3.0;63.608;47.278;16.107;205;70;29;0;83.893;0
Standard;0.31;0.1;3.1;63.764;47.123;16.107;204;70;29;0;83.893;0
Standard;0.32;0.1;3.2;63.919;46.967;16.779;204;70;28;0;83.221;0
Standard;0.33;0.1;3.3;63.919;47.434;16.779;207;73;25;0;83.221;0
Standard;0.34;0.1;3.4;63.919;47.434;16.779;208;73;24;0;83.221;0
Standard;0.35;0.1;3.5;63.919;47.9;16.779;208;76;24;0;83.221;0
Standard;0.36;0.1;3.6;63.919;47.745;16.779;208;75;24;0;83.221;0
Standard;0.37;0.1;3.7;64.075;47.589;17.45;207;75;24;0;82.55;0
Standard;0.38;0.1;3.8;64.23;47.434;17.45;206;75;24;0;82.55;0
Standard;0.39;0.1;3.9;64.23;47.123;17.45;206;73;24;0;82.55;0
Standard;0.4;0.1;4.0;64.23;47.123;17.45;206;73;24;0;82.55;0
Standard;0.41;0.1;4.1;64.23;47.123;17.45;206;73;24;0;82.55;0
Standard;0.42;0.1;4.2;64.23;47.123;17.45;206;73;24;0;82.55;0
Standard;0.43;0.1;4.3;64.697;46.501;17.45;206;72;21;0;82.55;0
Standard;0.44;0.1;4.4;63.608;47.589;17.45;213;72;21;0;82.55;0
Standard;0.45;0.1;4.5;63.608;47.589;17.45;213;72;21;0;82.55;0
Standard;0.46;0.1;4.6;63.764;47.745;18.121;212;74;21;0;81.879;0
Standard;0.47;0.1;4.7;63.764;47.9;18.121;212;75;21;0;81.879;0
Standard;0.48;0.1;4.8;63.919;47.745;18.121;211;75;21;0;81.879;0
Standard;0.49;0.1;4.9;64.075;47.589;18.121;210;75;21;0;81.879;0
Standard;0.5;0.1;5.0;64.075;47.589;18.121;210;75;21;0;81.879;0
Standard;;;;46.967;56.143;8.725;279;20;62;0;91.275;0
