MeinTable.rounded_in_percent_with_empty_results,,,,,,,,,,,,
Approach,Language Weight,Word Insertion Probability,Ratio,Accuracy,WER,Sentence Accuracy,Substitutions,Insertions,Deletions,Empty Results,SER,Average Time
Standard,,,,0,100,0,3,0,5,0,100,0
Standard,0.05,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.1,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.15,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.2,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.25,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.3,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.35,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.4,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.45,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.5,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.55,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.6,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.65,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.7,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.75,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.8,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.85,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.9,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,0.95,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.05,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.1,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.15,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.2,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.25,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.3,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.35,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.4,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.45,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.5,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.55,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.6,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.65,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.7,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.75,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.8,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.85,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.9,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,1.95,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.05,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.1,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.15,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.2,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.25,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.3,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.35,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.4,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.45,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.5,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.55,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.6,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.65,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.7,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.75,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.8,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.85,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.9,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,2.95,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,3,0,9223372036854780,0,100,0,1,0,7,0,100,0
Standard,,,,25,87.5,0,5,1,1,0,100,0
Standard,0.05,0.05,1,25,87.5,0,4,1,2,0,100,0
Standard,0.1,0.05,2,25,87.5,0,4,1,2,0,100,0
Standard,0.15,0.05,3,25,87.5,0,4,1,2,0,100,0
Standard,0.2,0.05,4,25,87.5,0,4,1,2,0,100,0
Standard,0.25,0.05,5,25,87.5,0,4,1,2,0,100,0
Standard,0.3,0.05,6,25,87.5,0,4,1,2,0,100,0
Standard,0.35,0.05,7,12.5,100,0,3,1,4,0,100,0
Standard,0.4,0.05,8,12.5,100,0,3,1,4,0,100,0
Standard,0.45,0.05,9,12.5,100,0,3,1,4,0,100,0
Standard,0.5,0.05,10,12.5,100,0,3,1,4,0,100,0
Standard,0.55,0.05,11,12.5,100,0,3,1,4,0,100,0
Standard,0.6,0.05,12,12.5,100,0,3,1,4,0,100,0
Standard,0.65,0.05,13,25,87.5,0,3,1,3,0,100,0
Standard,0.7,0.05,14,12.5,100,0,3,1,4,0,100,0
Standard,0.75,0.05,15,12.5,100,0,3,1,4,0,100,0
Standard,0.8,0.05,16,25,87.5,0,2,1,4,0,100,0
Standard,0.85,0.05,17,25,87.5,0,2,1,4,0,100,0
Standard,0.9,0.05,18,25,87.5,0,2,1,4,0,100,0
Standard,0.95,0.05,19,25,87.5,0,2,1,4,0,100,0
Standard,1,0.05,20,0,100,0,2,0,6,0,100,0
Standard,1.05,0.05,21,0,100,0,2,0,6,0,100,0
Standard,1.1,0.05,22,0,100,0,2,0,6,0,100,0
Standard,1.15,0.05,23,0,100,0,2,0,6,0,100,0
Standard,1.2,0.05,24,0,100,0,2,0,6,0,100,0
Standard,1.25,0.05,25,0,100,0,2,0,6,0,100,0
Standard,1.3,0.05,26,0,100,0,1,0,7,0,100,0
Standard,1.35,0.05,27,0,100,0,1,0,7,0,100,0
Standard,1.4,0.05,28,0,100,0,1,0,7,0,100,0
Standard,1.45,0.05,29,0,100,0,1,0,7,0,100,0
Standard,1.5,0.05,30,0,100,0,1,0,7,0,100,0
Standard,1.55,0.05,31,0,100,0,1,0,7,0,100,0
Standard,1.6,0.05,32,0,100,0,1,0,7,0,100,0
Standard,1.65,0.05,33,0,100,0,1,0,7,0,100,0
Standard,1.7,0.05,34,0,100,0,1,0,7,0,100,0
Standard,1.75,0.05,35,0,100,0,1,0,7,0,100,0
Standard,1.8,0.05,36,0,100,0,1,0,7,0,100,0
Standard,1.85,0.05,37,0,100,0,1,0,7,0,100,0
Standard,1.9,0.05,38,0,100,0,1,0,7,0,100,0
Standard,1.95,0.05,39,0,100,0,1,0,7,0,100,0
Standard,2,0.05,40,0,100,0,1,0,7,0,100,0
Standard,2.05,0.05,41,0,100,0,1,0,7,0,100,0
Standard,2.1,0.05,42,0,100,0,1,0,7,0,100,0
Standard,2.15,0.05,43,0,100,0,1,0,7,0,100,0
Standard,2.2,0.05,44,0,100,0,1,0,7,0,100,0
Standard,2.25,0.05,45,0,100,0,1,0,7,0,100,0
Standard,2.3,0.05,46,0,100,0,1,0,7,0,100,0
Standard,2.35,0.05,47,0,100,0,1,0,7,0,100,0
Standard,2.4,0.05,48,0,100,0,1,0,7,0,100,0
Standard,2.45,0.05,49,0,100,0,1,0,7,0,100,0
