;;;;;;;;;;
111111java1.8myexample.rounded_in_percent_with_empty_results;;;;;;;;;;
Approach;Language Weight;Word Insertion Probability;Ratio;Accuracy;WER;Sentence Accuracy;Substitutions;Insertions;Deletions;Empty Results;SER;Average Time
Standard;;;;39.495;119.92;0.0;912;1035;142;0;100.0;0
Standard;0.1;10.0;0.01;34.156;76.98;0.0;797;194;350;0;100.0;0
Standard;0.2;10.0;0.02;34.788;74.168;0.0;625;156;511;0;100.0;0
Standard;0.3;10.0;0.03;34.902;72.273;0.0;517;125;617;0;100.0;0
Standard;0.4;10.0;0.04;32.204;72.962;0.0;381;90;800;0;100.0;0
Standard;0.5;10.0;0.05;28.588;75.258;0.0;314;67;930;0;100.0;0
Standard;0.6;10.0;0.06;25.718;76.636;0.0;253;41;1041;0;100.0;0
Standard;0.7;10.0;0.07;24.225;77.612;0.0;212;32;1108;0;100.0;0
Standard;0.8;10.0;0.08;22.273;79.104;0.0;178;24;1176;0;100.0;0
Standard;0.9;10.0;0.09;20.436;80.54;0.0;148;17;1238;0;100.0;0
Standard;1.0;10.0;0.1;19.346;81.228;0.0;137;10;1268;0;100.0;0
Standard;1.1;10.0;0.11;17.681;82.664;0.0;127;6;1307;0;100.0;0
Standard;1.2;10.0;0.12;17.279;83.065;0.0;119;6;1322;0;100.0;0
Standard;1.3;10.0;0.13;16.246;83.869;0.0;119;2;1340;0;100.0;0
Standard;1.4;10.0;0.14;15.499;84.501;0.0;117;0;1355;0;100.0;0
Standard;1.5;10.0;0.15;15.212;84.788;0.0;118;0;1359;0;100.0;0
Standard;1.6;10.0;0.16;13.949;86.051;0.0;121;0;1378;0;100.0;0
Standard;1.7;10.0;0.17;13.49;86.51;0.0;120;0;1387;0;100.0;0
Standard;1.8;10.0;0.18;13.375;86.625;0.0;124;0;1385;0;100.0;0
Standard;1.9;10.0;0.19;13.031;86.969;0.0;125;0;1390;0;100.0;0
Standard;2.0;10.0;0.2;12.629;87.371;0.0;126;0;1396;0;100.0;0
Standard;2.1;10.0;0.21;12.4;87.6;0.0;124;0;1402;0;100.0;0
Standard;2.2;10.0;0.22;11.998;88.002;0.0;127;0;1406;0;100.0;0
Standard;2.3;10.0;0.23;11.653;88.347;0.0;128;0;1411;0;100.0;0
Standard;2.4;10.0;0.24;11.424;88.576;0.0;130;0;1413;0;100.0;0
Standard;2.5;10.0;0.25;10.907;89.093;0.0;136;0;1416;0;100.0;0
Standard;2.6;10.0;0.26;10.735;89.265;0.0;130;0;1425;0;100.0;0
Standard;2.7;10.0;0.27;9.644;90.356;0.0;128;0;1446;0;100.0;0
Standard;2.8;10.0;0.28;9.127;90.873;0.0;134;0;1449;0;100.0;0
Standard;2.9;10.0;0.29;9.127;90.873;0.0;133;0;1450;0;100.0;0
Standard;3.0;10.0;0.3;9.127;90.873;0.0;133;0;1450;0;100.0;0
Standard;3.1;10.0;0.31;9.07;90.93;0.0;132;0;1452;0;100.0;0
Standard;3.2;10.0;0.32;8.898;91.102;0.0;130;0;1457;0;100.0;0
Standard;3.3;10.0;0.33;8.898;91.102;0.0;130;0;1457;0;100.0;0
Standard;3.4;10.0;0.34;8.094;91.906;0.0;132;0;1469;0;100.0;0
Standard;3.5;10.0;0.35;8.094;91.906;0.0;131;0;1470;0;100.0;0
Standard;3.6;10.0;0.36;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;3.7;10.0;0.37;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;3.8;10.0;0.38;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;3.9;10.0;0.39;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;4.0;10.0;0.4;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;;;;41.561;122.273;0.0;864;1112;154;0;100.0;0
Standard;0.1;10.1;0.01;34.099;76.98;0.0;798;193;350;0;100.0;0
Standard;0.2;10.1;0.02;34.615;74.34;0.0;626;156;513;0;100.0;0
Standard;0.3;10.1;0.03;34.902;72.216;0.0;514;124;620;0;100.0;0
Standard;0.4;10.1;0.04;31.975;73.192;0.0;381;90;804;0;100.0;0
Standard;0.5;10.1;0.05;28.301;75.373;0.0;311;64;938;0;100.0;0
Standard;0.6;10.1;0.059;25.66;76.693;0.0;255;41;1040;0;100.0;0
Standard;0.7;10.1;0.069;24.282;77.555;0.0;211;32;1108;0;100.0;0
Standard;0.8;10.1;0.079;22.044;79.219;0.0;174;22;1184;0;100.0;0
Standard;0.9;10.1;0.089;20.264;80.712;0.0;148;17;1241;0;100.0;0
Standard;1.0;10.1;0.099;19.288;81.286;0.0;136;10;1270;0;100.0;0
Standard;1.1;10.1;0.109;17.681;82.664;0.0;127;6;1307;0;100.0;0
Standard;1.2;10.1;0.119;16.877;83.238;0.0;117;2;1331;0;100.0;0
Standard;1.3;10.1;0.129;16.361;83.754;0.0;117;2;1340;0;100.0;0
Standard;1.4;10.1;0.139;15.499;84.501;0.0;117;0;1355;0;100.0;0
Standard;1.5;10.1;0.149;14.409;85.591;0.0;125;0;1366;0;100.0;0
Standard;1.6;10.1;0.158;13.892;86.108;0.0;122;0;1378;0;100.0;0
Standard;1.7;10.1;0.168;13.49;86.51;0.0;120;0;1387;0;100.0;0
Standard;1.8;10.1;0.178;13.375;86.625;0.0;120;0;1389;0;100.0;0
Standard;1.9;10.1;0.188;12.859;87.141;0.0;126;0;1392;0;100.0;0
Standard;2.0;10.1;0.198;12.457;87.543;0.0;126;0;1399;0;100.0;0
Standard;2.1;10.1;0.208;12.4;87.6;0.0;124;0;1402;0;100.0;0
Standard;2.2;10.1;0.218;11.998;88.002;0.0;127;0;1406;0;100.0;0
Standard;2.3;10.1;0.228;11.653;88.347;0.0;126;0;1413;0;100.0;0
Standard;2.4;10.1;0.238;11.251;88.749;0.0;130;0;1416;0;100.0;0
Standard;2.5;10.1;0.248;10.907;89.093;0.0;136;0;1416;0;100.0;0
Standard;2.6;10.1;0.257;10.735;89.265;0.0;128;0;1427;0;100.0;0
Standard;2.7;10.1;0.267;9.644;90.356;0.0;128;0;1446;0;100.0;0
Standard;2.8;10.1;0.277;9.127;90.873;0.0;134;0;1449;0;100.0;0
Standard;2.9;10.1;0.287;9.127;90.873;0.0;133;0;1450;0;100.0;0
Standard;3.0;10.1;0.297;9.127;90.873;0.0;133;0;1450;0;100.0;0
Standard;3.1;10.1;0.307;9.013;90.987;0.0;132;0;1453;0;100.0;0
Standard;3.2;10.1;0.317;8.898;91.102;0.0;130;0;1457;0;100.0;0
Standard;3.3;10.1;0.327;8.898;91.102;0.0;132;0;1455;0;100.0;0
Standard;3.4;10.1;0.337;8.094;91.906;0.0;132;0;1469;0;100.0;0
Standard;3.5;10.1;0.347;8.094;91.906;0.0;131;0;1470;0;100.0;0
Standard;3.6;10.1;0.356;8.152;91.848;0.0;130;0;1470;0;100.0;0
Standard;3.7;10.1;0.366;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;3.8;10.1;0.376;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;3.9;10.1;0.386;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;4.0;10.1;0.396;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;;;;41.561;115.959;0.0;845;1002;173;0;100.0;0
Standard;0.1;10.2;0.01;33.984;77.669;0.0;788;203;362;0;100.0;0
Standard;0.2;10.2;0.02;34.615;74.34;0.0;626;156;513;0;100.0;0
Standard;0.3;10.2;0.029;34.673;72.331;0.0;516;122;622;0;100.0;0
Standard;0.4;10.2;0.039;31.803;73.249;0.0;382;88;806;0;100.0;0
Standard;0.5;10.2;0.049;28.186;75.431;0.0;311;63;940;0;100.0;0
Standard;0.6;10.2;0.059;25.545;76.808;0.0;255;41;1042;0;100.0;0
Standard;0.7;10.2;0.069;24.053;77.784;0.0;209;32;1114;0;100.0;0
Standard;0.8;10.2;0.078;21.757;79.506;0.0;174;22;1189;0;100.0;0
Standard;0.9;10.2;0.088;20.264;80.712;0.0;148;17;1241;0;100.0;0
Standard;1.0;10.2;0.098;19.288;81.286;0.0;135;10;1271;0;100.0;0
Standard;1.1;10.2;0.108;17.566;82.778;0.0;126;6;1310;0;100.0;0
Standard;1.2;10.2;0.118;16.82;83.295;0.0;117;2;1332;0;100.0;0
Standard;1.3;10.2;0.127;16.246;83.812;0.0;117;1;1342;0;100.0;0
Standard;1.4;10.2;0.137;15.557;84.443;0.0;116;0;1355;0;100.0;0
Standard;1.5;10.2;0.147;14.409;85.591;0.0;125;0;1366;0;100.0;0
Standard;1.6;10.2;0.157;13.892;86.108;0.0;122;0;1378;0;100.0;0
Standard;1.7;10.2;0.167;13.548;86.452;0.0;120;0;1386;0;100.0;0
Standard;1.8;10.2;0.176;13.375;86.625;0.0;120;0;1389;0;100.0;0
Standard;1.9;10.2;0.186;12.687;87.313;0.0;125;0;1396;0;100.0;0
Standard;2.0;10.2;0.196;12.457;87.543;0.0;126;0;1399;0;100.0;0
Standard;2.1;10.2;0.206;12.342;87.658;0.0;123;0;1404;0;100.0;0
Standard;2.2;10.2;0.216;11.998;88.002;0.0;127;0;1406;0;100.0;0
Standard;2.3;10.2;0.225;11.653;88.347;0.0;126;0;1413;0;100.0;0
Standard;2.4;10.2;0.235;11.251;88.749;0.0;130;0;1416;0;100.0;0
Standard;2.5;10.2;0.245;11.079;88.921;0.0;133;0;1416;0;100.0;0
Standard;2.6;10.2;0.255;10.735;89.265;0.0;128;0;1427;0;100.0;0
Standard;2.7;10.2;0.265;9.644;90.356;0.0;128;0;1446;0;100.0;0
Standard;2.8;10.2;0.275;9.127;90.873;0.0;134;0;1449;0;100.0;0
Standard;2.9;10.2;0.284;9.127;90.873;0.0;133;0;1450;0;100.0;0
Standard;3.0;10.2;0.294;9.127;90.873;0.0;133;0;1450;0;100.0;0
Standard;3.1;10.2;0.304;9.013;90.987;0.0;132;0;1453;0;100.0;0
Standard;3.2;10.2;0.314;8.898;91.102;0.0;130;0;1457;0;100.0;0
Standard;3.3;10.2;0.324;8.898;91.102;0.0;130;0;1457;0;100.0;0
Standard;3.4;10.2;0.333;8.094;91.906;0.0;132;0;1469;0;100.0;0
Standard;3.5;10.2;0.343;8.094;91.906;0.0;131;0;1470;0;100.0;0
Standard;3.6;10.2;0.353;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;3.7;10.2;0.363;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;3.8;10.2;0.373;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;3.9;10.2;0.382;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;4.0;10.2;0.392;8.152;91.848;0.0;128;0;1472;0;100.0;0
Standard;;;;41.791;118.14;0.0;848;1044;166;0;100.0;0
Standard;0.1;10.3;0.01;33.984;77.669;0.0;788;203;362;0;100.0;0
Standard;0.2;10.3;0.019;34.558;74.397;0.0;627;156;513;0;100.0;0
Standard;0.3;10.3;0.029;34.615;72.388;0.0;510;122;629;0;100.0;0
Standard;0.4;10.3;0.039;31.803;73.249;0.0;382;88;806;0;100.0;0
Standard;0.5;10.3;0.049;27.325;75.89;0.0;315;56;951;0;100.0;0
